Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
40 10000.00 1283.00 99.972863 48.8486 0.70001 14.9234 1.3247 0 7.258 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
21 1000.00 1340.00 99.613344 49.0249 0.702537 14.9773 1.79858 0 6.86209 0.18327 9.2857 0 0 11.9839 1.81234 0.621083 0.101817 2.6466
40 4000.00 1283.00 100.002980 48.8338 0.6998 14.9189 1.6249 0 6.98533 0.182556 9.24952 0 0 11.9372 1.80528 0.618663 0.10142 3.04261
42 7000.00 1277.00 99.987127 48.8416 0.699911 14.9213 1.46691 0 7.12883 0.182585 9.25099 0 0 11.9391 1.80557 0.618761 0.101436 3.04309
41 10000.00 1280.00 99.972896 48.8485 0.70001 14.9234 1.32503 0 7.2577 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
41 4000.00 1280.00 100.003059 48.8338 0.699799 14.9189 1.62568 0 6.98462 0.182556 9.24952 0 0 11.9372 1.80528 0.618663 0.10142 3.0426
43 7000.00 1274.00 99.987185 48.8416 0.69991 14.9213 1.46748 0 7.12831 0.182585 9.25099 0 0 11.939 1.80557 0.618761 0.101436 3.04309
22 1000.00 1337.00 99.615380 49.0239 0.702522 14.977 1.79921 0 6.86136 0.183267 9.28551 0 0 11.9836 1.8123 0.621071 0.101815 2.648526
44 7000.00 1271.00 99.987244 48.8415 0.69991 14.9213 1.46807 0 7.12778 0.182585 9.25098 0 0 11.939 1.80556 0.618761 0.101436 3.04309
43 4000.00 1274.00 100.003221 48.8337 0.699798 14.9189 1.62731 0 6.98315 0.182556 9.2495 0 0 11.9371 1.80528 0.618662 0.10142 3.0426
45 7000.00 1268.00 99.987304 48.8415 0.699909 14.9213 1.46867 0 7.12723 0.182585 9.25098 0 0 11.939 1.80556 0.61876 0.101436 3.04308
42 10000.00 1277.00 99.571937 48.8215 0.702552 14.9738 1.32681 0 7.2566 0.183347 9.16358 0 0 11.9798 1.813 0.621342 0.101859 3.055785
44 4000.00 1271.00 100.003306 48.8337 0.699797 14.9189 1.62815 0 6.98238 0.182556 9.24949 0 0 11.9371 1.80527 0.618661 0.10142 3.0426
47 7000.00 1262.00 99.987431 48.8414 0.699908 14.9212 1.46994 0 7.12608 0.182585 9.25096 0 0 11.939 1.80556 0.61876 0.101436 3.043089
24 1000.00 1331.00 99.619486 49.0218 0.702494 14.9763 1.80051 0 6.85983 0.183259 9.28513 0 0 11.9831 1.81223 0.621045 0.101811 2.65239
